,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
616,Red River,1948,7.8,,31639,,133,"Drama, Western            ",Passed,"
    Directors:
Howard Hawks, 
Arthur Rosson
| 
    Stars:
John Wayne, 
Montgomery Clift, 
Joanne Dru, 
Walter Brennan
","
Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
617,Kiki's Delivery Service,1989,7.8,83.0,145303,,103,"Animation, Adventure, Family            ",G,"
    Director:
Hayao Miyazaki
| 
    Stars:
Kirsten Dunst, 
Minami Takayama, 
Rei Sakuma, 
Kappei Yamaguchi
","
A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
618,King Kong,1933,7.9,90.0,86112,10.0,100,"Adventure, Horror, Sci-Fi            ",Passed,"
    Directors:
Merian C. Cooper, 
Ernest B. Schoedsack
| 
    Stars:
Fay Wray, 
Robert Armstrong, 
Bruce Cabot, 
Frank Reicher
","
A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition."
619,The Great Dictator,1940,8.4,,224127,0.29,125,"Comedy, Drama, War            ",G,"
    Director:
Charles Chaplin
| 
    Stars:
Charles Chaplin, 
Paulette Goddard, 
Jack Oakie, 
Reginald Gardiner
","
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."
620,Jai Bhim,2021,8.9,,200938,,164,"Crime, Drama, Mystery            ",TV-MA,"
    Director:
T.J. Gnanavel
| 
    Stars:
Suriya, 
Lijo Mol Jose, 
Manikandan K., 
Rajisha Vijayan
","
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
621,Roman Holiday,1953,8.0,78.0,139106,,118,"Comedy, Romance            ",Passed,"
    Director:
William Wyler
| 
    Stars:
Gregory Peck, 
Audrey Hepburn, 
Eddie Albert, 
Hartley Power
","
A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome."
622,Days of Heaven,1978,7.8,93.0,58656,,94,"Drama, Romance            ",PG,"
    Director:
Terrence Malick
| 
    Stars:
Richard Gere, 
Brooke Adams, 
Sam Shepard, 
Linda Manz
","
A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune."
623,Black Book,2006,7.7,71.0,77322,4.4,145,"Drama, Thriller, War            ",R,"
    Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn
","
In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
624,The Maltese Falcon,1941,8.0,97.0,159194,2.11,100,"Crime, Film-Noir, Mystery            ",Passed,"
    Director:
John Huston
| 
    Stars:
Humphrey Bogart, 
Mary Astor, 
Gladys George, 
Peter Lorre
","
San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
625,The Third Man,1949,8.1,97.0,172184,0.45,93,"Film-Noir, Mystery, Thriller            ",Approved,"
    Director:
Carol Reed
| 
    Stars:
Orson Welles, 
Joseph Cotten, 
Alida Valli, 
Trevor Howard
","
Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
626,Baahubali 2: The Conclusion,2017,8.2,,101739,20.19,167,"Action, Drama            ",Not Rated,"
    Director:
S.S. Rajamouli
| 
    Stars:
Prabhas, 
Rana Daggubati, 
Anushka Shetty, 
Tamannaah Bhatia
","
When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
627,Kubo and the Two Strings,2016,7.7,84.0,129768,48.02,101,"Animation, Action, Adventure            ",PG,"
    Director:
Travis Knight
| 
    Stars:
Charlize Theron, 
Art Parkinson, 
Matthew McConaughey, 
Ralph Fiennes
","
A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past."
628,Happiness,1998,7.7,81.0,70795,2.81,134,"Comedy, Drama            ",NC-17,"
    Director:
Todd Solondz
| 
    Stars:
Jane Adams, 
Jon Lovitz, 
Philip Seymour Hoffman, 
Dylan Baker
","
The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
629,All About Eve,1950,8.2,98.0,131817,0.01,138,Drama            ,Passed,"
    Director:
Joseph L. Mankiewicz
| 
    Stars:
Bette Davis, 
Anne Baxter, 
George Sanders, 
Celeste Holm
","
A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends."
630,Like Stars on Earth,2007,8.4,,193674,1.22,165,"Drama, Family            ",PG,"
    Directors:
Aamir Khan, 
Amole Gupte
| 
    Stars:
Darsheel Safary, 
Aamir Khan, 
Tisca Chopra, 
Vipin Sharma
","
An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
631,Finding Neverland,2004,7.7,67.0,207036,51.68,106,"Biography, Drama, Family            ",PG,"
    Director:
Marc Forster
| 
    Stars:
Johnny Depp, 
Kate Winslet, 
Julie Christie, 
Radha Mitchell
","
The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan."
632,The Shop Around the Corner,1940,8.0,96.0,33551,0.2,99,"Comedy, Drama, Romance            ",Not Rated,"
    Director:
Ernst Lubitsch
| 
    Stars:
Margaret Sullavan, 
James Stewart, 
Frank Morgan, 
Joseph Schildkraut
","
Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
633,The Right Stuff,1983,7.8,91.0,61926,21.5,193,"Adventure, Biography, Drama            ",PG,"
    Director:
Philip Kaufman
| 
    Stars:
Sam Shepard, 
Scott Glenn, 
Ed Harris, 
Dennis Quaid
","
The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
634,Belle de Jour,1967,7.7,,45238,0.03,100,"Drama, Romance            ",R,"
    Director:
Luis Buñuel
| 
    Stars:
Catherine Deneuve, 
Jean Sorel, 
Michel Piccoli, 
Geneviève Page
","
A frigid young housewife decides to spend her midweek afternoons as a prostitute."
635,The Muppet Christmas Carol,1992,7.7,64.0,58660,27.28,85,"Comedy, Drama, Family            ",G,"
    Director:
Brian Henson
| 
    Stars:
Michael Caine, 
Dave Goelz, 
Steve Whitmire, 
Jerry Nelson
","
The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve."
636,The Invisible Man,1933,7.6,87.0,36148,,71,"Horror, Sci-Fi            ",TV-PG,"
    Director:
James Whale
| 
    Stars:
Claude Rains, 
Gloria Stuart, 
William Harrigan, 
Henry Travers
","
A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
637,Stagecoach,1939,7.8,93.0,49523,,96,"Adventure, Drama, Western            ",Passed,"
    Director:
John Ford
| 
    Stars:
John Wayne, 
Claire Trevor, 
Andy Devine, 
John Carradine
","
A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process."
638,50/50,2011,7.6,72.0,331186,35.01,100,"Comedy, Drama, Romance            ",R,"
    Director:
Jonathan Levine
| 
    Stars:
Joseph Gordon-Levitt, 
Seth Rogen, 
Anna Kendrick, 
Bryce Dallas Howard
","
Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
639,Persona,1966,8.1,86.0,119192,,83,"Drama, Thriller            ",Not Rated,"
    Director:
Ingmar Bergman
| 
    Stars:
Bibi Andersson, 
Liv Ullmann, 
Margaretha Krook, 
Gunnar Björnstrand
","
A nurse is put in charge of a mute actress and finds that their personae are melding together."
640,Mommy,2014,8.0,74.0,57447,3.49,139,Drama            ,R,"
    Director:
Xavier Dolan
| 
    Stars:
Anne Dorval, 
Antoine Olivier Pilon, 
Suzanne Clément, 
Patrick Huard
","
A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
641,Freaks,1932,7.8,80.0,47043,0.63,64,"Drama, Horror            ",Not Rated,"
    Director:
Tod Browning
| 
    Stars:
Wallace Ford, 
Leila Hyams, 
Olga Baclanova, 
Roscoe Ates
","
A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
642,Shoplifters,2018,7.9,93.0,76956,3.31,121,"Crime, Drama, Thriller            ",R,"
    Director:
Hirokazu Koreeda
| 
    Stars:
Lily Franky, 
Sakura Andô, 
Kirin Kiki, 
Mayu Matsuoka
","
A family of small-time crooks take in a child they find outside in the cold."
643,Wings of Desire,1987,8.0,79.0,71606,3.33,128,"Drama, Fantasy, Romance            ",PG-13,"
    Director:
Wim Wenders
| 
    Stars:
Bruno Ganz, 
Solveig Dommartin, 
Otto Sander, 
Curt Bois
","
An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
644,Open Your Eyes,1997,7.7,,69748,0.37,119,"Drama, Mystery, Sci-Fi            ",R,"
    Director:
Alejandro Amenábar
| 
    Stars:
Eduardo Noriega, 
Penélope Cruz, 
Chete Lera, 
Fele Martínez
","
A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
645,It Happened One Night,1934,8.1,87.0,104492,4.36,105,"Comedy, Romance            ",Passed,"
    Director:
Frank Capra
| 
    Stars:
Clark Gable, 
Claudette Colbert, 
Walter Connolly, 
Roscoe Karns
","
A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
646,La dolce vita,1960,8.0,95.0,73718,19.52,174,"Comedy, Drama            ",Not Rated,"
    Director:
Federico Fellini
| 
    Stars:
Marcello Mastroianni, 
Anita Ekberg, 
Anouk Aimée, 
Yvonne Furneaux
","
A series of stories following a week in the life of a philandering tabloid journalist living in Rome."
647,The Last King of Scotland,2006,7.6,74.0,187180,17.61,123,"Biography, Drama, History            ",R,"
    Director:
Kevin Macdonald
| 
    Stars:
James McAvoy, 
Forest Whitaker, 
Gillian Anderson, 
Kerry Washington
","
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
648,The Cabinet of Dr. Caligari,1920,8.0,,64541,,67,"Horror, Mystery, Thriller            ",Not Rated,"
    Director:
Robert Wiene
| 
    Stars:
Werner Krauss, 
Conrad Veidt, 
Friedrich Feher, 
Lil Dagover
","
Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
649,Wolfwalkers,2020,8.0,87.0,32543,,103,"Animation, Adventure, Family            ",PG,"
    Directors:
Tomm Moore, 
Ross Stewart
| 
    Stars:
Honor Kneafsey, 
Eva Whittaker, 
Sean Bean, 
Simon McBurney
","
A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night."
650,Miller's Crossing,1990,7.7,66.0,136004,5.08,115,"Crime, Drama, Thriller            ",R,"
    Directors:
Joel Coen, 
Ethan Coen
| 
    Stars:
Gabriel Byrne, 
Albert Finney, 
John Turturro, 
Marcia Gay Harden
","
Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
651,The Manchurian Candidate,1962,7.9,94.0,76089,,126,"Drama, Thriller            ",PG-13,"
    Director:
John Frankenheimer
| 
    Stars:
Frank Sinatra, 
Laurence Harvey, 
Janet Leigh, 
Angela Lansbury
","
An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy."
652,Mother,2009,7.8,79.0,64907,0.55,129,"Crime, Drama, Mystery            ",R,"
    Director:
Bong Joon Ho
| 
    Stars:
Hye-ja Kim, 
Won Bin, 
Jin Goo, 
Je-mun Yun
","
A mother desperately searches for the killer who framed her son for a girl's horrific murder."
653,Dial M for Murder,1954,8.2,75.0,176442,0.01,105,"Crime, Thriller            ",PG,"
    Director:
Alfred Hitchcock
| 
    Stars:
Ray Milland, 
Grace Kelly, 
Robert Cummings, 
John Williams
","
A former tennis star arranges the murder of his adulterous wife."
654,Dragon Ball Super: Broly,2018,7.7,59.0,28119,30.71,100,"Animation, Action, Adventure            ",PG,"
    Director:
Tatsuya Nagamine
| 
    Stars:
Masako Nozawa, 
Aya Hisakawa, 
Ryô Horikawa, 
Toshio Furukawa
","
Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before."
655,Hamlet,1996,7.8,,38438,4.41,242,Drama            ,PG-13,"
    Director:
Kenneth Branagh
| 
    Stars:
Kenneth Branagh, 
Julie Christie, 
Derek Jacobi, 
Kate Winslet
","
Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
656,Togo,2019,7.9,69.0,49275,,113,"Adventure, Biography, Drama            ",PG,"
    Director:
Ericson Core
| 
    Stars:
Willem Dafoe, 
Julianne Nicholson, 
Christopher Heyerdahl, 
Richard Dormer
","
The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
657,White Heat,1949,8.1,,33294,,114,"Action, Crime, Drama            ",Not Rated,"
    Director:
Raoul Walsh
| 
    Stars:
James Cagney, 
Virginia Mayo, 
Edmond O'Brien, 
Margaret Wycherly
","
A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist."
658,Breathless,1960,7.7,,82388,0.34,90,"Crime, Drama            ",Not Rated,"
    Director:
Jean-Luc Godard
| 
    Stars:
Jean-Paul Belmondo, 
Jean Seberg, 
Daniel Boulanger, 
Henri-Jacques Huet
","
A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
659,Arsenic and Old Lace,1944,7.9,,71400,,118,"Comedy, Crime, Thriller            ",Not Rated,"
    Director:
Frank Capra
| 
    Stars:
Cary Grant, 
Priscilla Lane, 
Raymond Massey, 
Jack Carson
","
A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers."
660,Ray,2004,7.7,73.0,148746,75.33,152,"Biography, Drama, Music            ",PG-13,"
    Director:
Taylor Hackford
| 
    Stars:
Jamie Foxx, 
Regina King, 
Kerry Washington, 
Clifton Powell
","
The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
